node,vip,rf_imp,logp,lasso
BLCAP,0.114195874,1.02E-18,0.040573846,0
BLK,0.220494817,0.000245327,0.022621671,0
BLMH,0.195835596,0.002798269,0.021230273,0
BLOC1S2,0.2552292,5.39E-18,0.064038367,0
BLOC1S6,0.006225735,2.88E-18,0.005545962,0
BMF,0.316687886,0.000841303,0.094104772,0
BMI1,0.379785482,0.004162496,0.190479697,0
BMP10,0.069460056,0,0.012482418,0
BMP7,0.352177152,8.15E-18,0.371947911,0
BNIP1,0.318258872,2.16E-18,0.136432248,0
BNIP2,0.653321005,8.93E-18,0.48809812,0
BNIP3,0.275269649,5.99E-20,0.145194834,0
BNIP3L,0.718856403,0.051427427,0.805685069,0.191843625
BOD1L2,0.166823875,0,0.028154596,0
BOLA1,0.11418883,0.000239876,0.047253454,0
BOLL,0.059724051,5.99E-20,0.005284644,0
BORCS5,0.194196202,0,0.051564795,0
BORCS6,0.292699252,0.001866093,0.042595434,0
BORCS8,0.211550703,4.55E-18,0.053935651,0
BPIFA1,0.063742906,1.74E-18,0.017060512,0
BPNT1,0.076512406,9.59E-19,0.000408961,0
BRD1,0.327924165,0.001529936,0.128844481,0
BRD8,0.273563535,0,0.053541301,0
BRICD5,0.401714337,4.79E-18,0.30163982,0
BRK1,0.279143228,0.004503777,0.129739173,0
BRMS1L,0.343372022,3.60E-19,0.112579778,0
BRPF1,0.336137034,0.000532172,0.085258839,0
BRWD1,0.168534131,2.40E-19,0.032954259,0
BSCL2,0.165882491,0,0.060831833,0
BSND,0.238206805,0.00062816,0.307636184,0
BTBD1,0.307435489,1.20E-19,0.089691276,0
BTBD18,0.060446413,0.000449767,0.049859106,0
BTBD2,0.475716085,0.00132299,0.403339563,0
BTBD3,0.365902232,0.000257594,0.137384664,0
BTBD6,0.372938856,4.91E-18,0.300849488,0
BTF3,0.165473961,5.27E-18,0.054278522,0
BTF3L4,0.475827584,0.000263994,0.310803783,0
BTG1,0.378658182,0.003025009,0.225892107,0
BTN2A1,0.498083861,0,0.397028126,0
BTN2A2,0.285172283,0.001338264,0.077944434,0
BTNL9,0.243310211,0.000498203,0.01897383,0
BTRC,0.128242594,0.001026362,0.038563727,0
BUB1,0.570842583,0.054976385,0.692168159,0
BUB3,0.438581489,4.43E-18,0.28944535,0
C00021,0.196155443,0.001219124,0.042738031,0
C00027,0.295224782,1.44E-18,0.087383942,0
C00036,0.289918143,0.000755357,0.009823819,0
C00039,0.068187652,0.001541255,0.001969101,0
C00043,0.093023263,0.000925235,0.008808332,0
